rank,name,country,total_patents,active_years,patents_per_year,performance_category
1,Kangguo Cheng,,41,4,10.25,Above Average
2,Shunpei Yamazaki,,32,4,8.0,Above Average
3,Peter Gaal,,32,4,8.0,Above Average
4,"Frederick E. Shelton, IV",,32,4,8.0,Above Average
5,Tao Luo,,29,4,7.25,Above Average
6,Kijun Kim,,25,4,6.25,Above Average
7,Hanbyul Seo,,24,4,6.0,Above Average
8,Hao Xu,,24,4,6.0,Above Average
9,Alexander Reznicek,,22,4,5.5,Above Average
10,Sarbajit K. Rakshit,,21,2,10.5,Above Average
11,Seungmin LEE,,21,4,5.25,Above Average
12,Farhad Barzegar,,20,3,6.67,Above Average
13,Joonkui Ahn,,19,4,4.75,Above Average
14,Paul Shala Henry,,19,4,4.75,Above Average
15,Wanshi Chen,,19,4,4.75,Above Average
16,Chen-Hua Yu,,18,4,4.5,Above Average
17,Donald J. Barnickel,,17,4,4.25,Above Average
18,Yunjung Yi,,17,4,4.25,Above Average
19,Robert Bennett,,17,3,5.67,Above Average
20,Oliver Schoor,,17,4,4.25,Above Average
